dwell_mean,dwell_std,flight_mean,flight_std,score
0.1895,0.0302,0.3842,0.0233,0.6925
0.1884,0.0290,0.3826,0.0219,0.6919
0.3075,0.1087,0.6437,0.0448,0.7438
0.3077,0.1068,0.6439,0.0462,0.7438
0.1259,0.0291,0.2415,0.0263,0.6684
0.3471,0.3661,0.8407,0.4145,0.8265
0.3467,0.3663,0.8401,0.4141,0.8264
0.1924,0.1323,0.3235,0.0875,0.7032
0.1919,0.1318,0.3204,0.0907,0.7032
0.2663,0.0899,0.5445,0.1287,0.7380
0.2663,0.0899,0.5445,0.1287,0.7380
0.1351,0.0364,0.2710,0.0512,0.6774
0.1355,0.0362,0.2715,0.0506,0.6774
3.1411,5.1984,4.2675,5.6501,1.0000
3.1411,5.1984,4.2675,5.6512,1.0000
0.1576,0.2125,0.2346,0.2363,0.7160
0.0306,0.0043,0.0615,0.0006,0.6272
0.0306,0.0039,0.0617,0.0008,0.6272
0.1386,0.0655,0.3027,0.0501,0.6845
0.1388,0.0651,0.3030,0.0496,0.6845
0.0945,0.0850,0.1957,0.0181,0.6632
0.0945,0.0850,0.1957,0.0181,0.6632
0.2662,0.2356,0.5388,0.3842,0.7810
0.2662,0.2356,0.5388,0.3842,0.7810
0.2772,0.2178,0.4694,0.2471,0.7558
0.2772,0.2176,0.4693,0.2472,0.7558
0.2344,0.1014,0.5096,0.1182,0.7310
0.2344,0.1017,0.5096,0.1185,0.7311
0.2579,0.0968,0.5582,0.1124,0.7375
0.2579,0.0963,0.5580,0.1122,0.7374
0.6481,0.4408,1.2004,0.4030,0.8749
0.6481,0.4408,1.2004,0.4030,0.8749
0.2201,0.0983,0.4134,0.1292,0.7193
0.2201,0.0983,0.4134,0.1292,0.7193
0.1935,0.0543,0.4120,0.0731,0.7055
0.1935,0.0546,0.4122,0.0733,0.7055
0.2473,0.2571,0.6066,0.2282,0.7693
0.2473,0.2571,0.6064,0.2280,0.7692
0.1902,0.0591,0.4148,0.0506,0.7029
0.1905,0.0587,0.4152,0.0505,0.7029
0.2357,0.0613,0.4956,0.0365,0.7151
0.2357,0.0613,0.4956,0.0365,0.7151
0.2976,0.2143,0.6778,0.2652,0.7813
0.2976,0.2180,0.6778,0.2700,0.7822
0.1557,0.0177,0.3067,0.0206,0.6778
0.1559,0.0176,0.3070,0.0204,0.6778
0.2706,0.2768,0.4513,0.2462,0.7581
0.2706,0.2775,0.4509,0.2465,0.7581
1745648931.31857,nan,nan,nan,nan,12ca17b49af2289436f303e0166030a21e525d266e209267433801a8fd4071a0
1745648961.3241985,nan,nan,nan,nan,12ca17b49af2289436f303e0166030a21e525d266e209267433801a8fd4071a0
1745649021.3169973,nan,nan,nan,nan,12ca17b49af2289436f303e0166030a21e525d266e209267433801a8fd4071a0
1745649051.329754,nan,nan,nan,nan,12ca17b49af2289436f303e0166030a21e525d266e209267433801a8fd4071a0
1745649093.3270442,nan,nan,nan,nan,12ca17b49af2289436f303e0166030a21e525d266e209267433801a8fd4071a0
1745649153.3301241,nan,nan,nan,nan,12ca17b49af2289436f303e0166030a21e525d266e209267433801a8fd4071a0
0.4090,0.3419,0.7216,0.3354,0.8115
0.9765,1.3685,1.4868,1.6795,0.9738
0.0340,0.0066,0.0704,0.0062,0.6300
0.0300,0.0003,0.0602,0.0002,0.6265
0.0306,0.0009,0.0614,0.0007,0.6269
0.0338,0.0055,0.0658,0.0065,0.6292
0.0305,0.0008,0.0609,0.0009,0.6268
0.0303,0.0007,0.0603,0.0009,0.6267
0.0304,0.0003,0.0606,0.0004,0.6266
0.0340,0.0056,0.0661,0.0072,0.6294
0.0304,0.0006,0.0609,0.0009,0.6268
0.0302,0.0009,0.0606,0.0014,0.6268
0.0340,0.0061,0.0702,0.0064,0.6299
0.0303,0.0008,0.0608,0.0008,0.6268
0.0301,0.0006,0.0605,0.0005,0.6266
0.0338,0.0054,0.0655,0.0064,0.6292
0.0299,0.0008,0.0603,0.0008,0.6267
0.0310,0.0022,0.0624,0.0012,0.6273
0.0304,0.0006,0.0610,0.0009,0.6268
0.0340,0.0053,0.0661,0.0062,0.6293
0.0306,0.0016,0.0619,0.0013,0.6271
0.0305,0.0006,0.0607,0.0005,0.6267
0.2234,0.2420,0.5222,0.3213,0.7681
0.1553,0.0162,0.3008,0.0151,0.6760
0.2777,0.1445,0.4843,0.1616,0.7404
0.1989,0.1191,0.3879,0.1365,0.7172
0.1258,0.0211,0.2394,0.0237,0.6670
0.8034,0.5447,1.5206,0.4941,0.9103
0.4403,0.4225,0.7369,0.4832,0.8362
0.5460,0.4103,1.1956,0.5818,0.8814
0.1840,0.0178,0.3658,0.0286,0.6892
0.3658,0.2365,0.5783,0.2198,0.7730
0.8303,0.7927,1.8435,0.4191,0.9281
0.8881,0.8418,2.0973,0.7179,0.9514
0.3948,0.1646,0.7696,0.1154,0.7770
1.0436,1.2909,2.6521,1.3488,0.9825
0.2470,0.1044,0.5125,0.1585,0.7377
0.2524,0.1174,0.4933,0.0164,0.7185
0.2525,0.0519,0.4790,0.0416,0.7143
0.4612,0.3964,0.7433,0.4314,0.8313
0.3422,0.1194,0.7391,0.1518,0.7708
0.3055,0.2354,0.6979,0.2652,0.7855
0.4071,0.2133,0.8737,0.2367,0.8050
0.6294,0.5310,1.4750,0.5371,0.9025
0.3182,0.1168,0.6826,0.1077,0.7575
0.2008,0.0411,0.4003,0.0669,0.7025
0.2051,0.0827,0.4122,0.1341,0.7172
0.3704,0.2068,0.6659,0.2401,0.7820
6.7929,11.2679,9.2502,12.2875,1.0000
0.0613,0.0705,0.0963,0.0685,0.6523
0.2703,0.2196,0.4471,0.2350,0.7514
0.2706,0.2201,0.4475,0.2352,0.7515
0.0342,0.0054,0.0705,0.0060,0.6299
0.0307,0.0010,0.0618,0.0011,0.6270
0.0307,0.0005,0.0618,0.0005,0.6269
0.0305,0.0003,0.0611,0.0004,0.6267
0.0343,0.0064,0.0723,0.0057,0.6302
0.0304,0.0020,0.0611,0.0024,0.6272
0.0304,0.0019,0.0615,0.0025,0.6273
0.0306,0.0017,0.0617,0.0023,0.6273
0.0306,0.0011,0.0614,0.0014,0.6270
0.0304,0.0007,0.0612,0.0006,0.6268
0.0304,0.0003,0.0607,0.0003,0.6266
0.0307,0.0004,0.0616,0.0003,0.6268
0.0307,0.0004,0.0616,0.0003,0.6268
0.0311,0.0018,0.0624,0.0018,0.6273
0.0308,0.0023,0.0616,0.0021,0.6273
0.0303,0.0025,0.0608,0.0031,0.6273
0.0339,0.0085,0.0697,0.0099,0.6307
0.0308,0.0014,0.0618,0.0018,0.6272
0.0309,0.0007,0.0622,0.0006,0.6270
0.0306,0.0010,0.0618,0.0008,0.6270
0.1530,0.2128,0.2233,0.2303,0.7134
0.0307,0.0008,0.0610,0.0008,0.6268
0.0307,0.0008,0.0610,0.0008,0.6268
0.0309,0.0017,0.0607,0.0017,0.6271
0.0311,0.0018,0.0611,0.0018,0.6272
0.0340,0.0041,0.0693,0.0049,0.6294
0.0312,0.0025,0.0609,0.0026,0.6273
0.0312,0.0025,0.0609,0.0026,0.6273
0.0304,0.0012,0.0602,0.0010,0.6268
0.0307,0.0012,0.0608,0.0007,0.6268
0.0386,0.0053,0.0777,0.0085,0.6318
0.0387,0.0060,0.0778,0.0096,0.6321
0.1748,0.0660,0.3539,0.0447,0.6936
0.1750,0.0665,0.3541,0.0454,0.6938
0.1686,0.1142,0.3899,0.1536,0.7169
0.1688,0.1138,0.3903,0.1532,0.7169
0.1662,0.0873,0.3168,0.0910,0.6965
0.1662,0.0873,0.3168,0.0910,0.6965
0.1223,0.0345,0.2480,0.0459,0.6723
0.1227,0.0342,0.2481,0.0452,0.6722
0.1837,0.0818,0.3913,0.0975,0.7078
0.1839,0.0817,0.3917,0.0970,0.7078
0.5174,0.6807,1.2944,0.7671,0.9091
